kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
CZ,CZ-B-001,TTI Czech s.r.o.,,,http://www.tti-czech.cz,green|200|356ms,,,,,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,,,"CZ exclusive Pöschl/Davidoff/Mascotte importer, multi-country (CZ+SK+DE) | Multi-country: Pöschl Group",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-002,CZECH TOBACCO CORPORATION a.s.,,,https://www.ctc-as.cz,green|200|1129ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,ctc@ctc-as.cz,+420 720838745,"CZ 15,000 retail units, jednym z nejvýznamnějších velkoobchodních distributorů v ČR",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-003,MORAVIA TOBACCO,,,https://www.moraviatb.cz/english,green|200|1411ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,info@moraviatb.cz,,"CZ family importer+distributor premium cigars (My Father, Alec Bradley, La Flor Dominicana), 2005",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-004,Horák Tabák,,,https://www.horaktabak.cz/velkoobchod,green|200|502ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,+420734617787,"CZ wholesale hookah tobacco + accessories, B2B only",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-005,Etabak.com,,,https://etabak.com/velkoobchod,green|200|1192ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,obchod@etabak.com,+420 777-593-840,CZ wholesale OCB/Smoking papers + cigars + accessoires,,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-006,TABÁK RAST plus Teplice,,,https://www.rastplus.cz,green|200|437ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"CZ wholesale tobacco + beverages + food, Teplice HQ",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-007,Velkoobchod Mečíř Trutnov,,,https://www.mecir.net,green|200|1956ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,obchod@mecir.net,00420723291202,CZ wholesale tobacco + spirits + gastro,,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-008,Tabacos.cz,,,https://www.tabacos.cz,green|200|478ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,CZ wholesale Oliva/Drew Estate/Costa Cigars,,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-009,EUROSPRO s.r.o.,,,https://www.eurospro.cz,green|200|4705ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"CZ velkoobchod tabákových výrobků a alkoholu, Praha",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-010,Šebrle s.r.o.,,,https://www.sebrlesro.cz,green|200|1966ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,+420 499 622 321,CZ velkoobchod kuřáckých potřeb + Golden Filter import,,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-011,CigarKings trade,,,https://www.cigarkings.de/trade,green|200|398ms,,,,,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,kontakt@cigarkings.de,,"DE-headquartered premium cigar importer/distributor active in CZ, EE, HR, HU and 20+ EU countries | Multi-country: CigarKings network",,,,,,manual-google-search-2026-09-01,,FROZEN,
CZ,CZ-B-012,GECO a.s.,Praha 8,"Pod Čimickým hájem 190/11, 181 21 Praha 8",https://www.geco.cz,green|200|433ms,,,63080737,CZ63080737,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,mail.box@geco.cz,+420 266 014 111,"CZ #1-2 tobacco distributor (2000-2499 employees), nationwide distribution of tobacco products and accessories. 6 regional centers incl. Klíčany, Odolena Voda. call-center. Direct competitor/reseller channel.",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN,
CZ,CZ-B-013,FUMUS s.r.o.,Praha,"Na Folimance 2155/15, 120 00 Praha Vinohrady",https://fumus.cz,green|200|6425ms,,,21654280,CZ21654280,,hurtownik,,,4,B2,średni,wysoki,B2B wholesale,,,,,info@fumus.cz,,"CZ official distributor of tobacco products incl. packing tobacco (bubble-pack), rolling papers, filters. New entrant (founded 2024).",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN,
CZ,CZ-B-014,ATILA POCHOP s.r.o.,Nová Paka,"Masarykovo náměstí 327, 509 01 Nová Paka",,,,,25950584,CZ25950584,,reseller,,,3,B2,średni,średni,B2B wholesale,,,,,atila@wo.cz,+420 493 724 414,"Regional CZ tobacco wholesale (cigarettes, cigars, smoking supplies, stationery). Small regional player.",,,,,,manual-google-search-2026-09-01-repeated,,DO-WERYFIKACJI,
CZ,CZ-B-015,Velkoobchod Mečíř,Trutnov,"Horská 30, 541 01 Trutnov",https://mecir.net,green|200|659ms,,,65212240,CZ7710263605,,reseller,,,3,B2,średni,średni,B2B wholesale,,,,,obchod@mecir.net,+420 499 811 752,"Regional CZ tobacco wholesale (cigarettes, cigars, spirits, gastro). Contact: Rudolf Korbelář. 2000+ products.",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN,
CZ,CZ-B-016,Magasin s.r.o.,Kutná Hora,"Kutná Hora, Malín 34",,,,,,,,hurtownik,,,3,B2,średni,średni,B2B wholesale,,,,,,,CZ regional wholesale: 500+ alcoholic drinks + cigarettes of nearly all brands. Active at MAKRO Praha Stodůlky.,,,,,,manual-google-search-2026-09-01-repeated,,DO-WERYFIKACJI,
CZ,CZ-B-017,"GGT CZ, a.s.",Jihlava,"Jana Masaryka 22, 586 01 Jihlava",https://www.ggtabak.cz,green|200|477ms,,,,,,hurtownik,,,4,B5,średni,wysoki,B2B wholesale,,,,,info@ggtabak.cz,+420 354 354 354,"2. největší velkoobchodní distributor tabákových výrobků v ČR. Člen holdingu Grafobal (SK). 10 distribučních míst, 18 340 ks/hod, 3 800+ produktů. Serwis dla trafik, stacji benzynowych, gastronomii. | marki_nabijarki: OG 3,800+ SKU w ofercie",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-018,Nico Distribution s.r.o. (NicoB2B),Praha,"Lannova 2061/8, Praha, Nové Město",https://nicob2b.cz,green|200|1257ms,,,,,,hurtownik,,,2,B2,średni,średni,B2B wholesale (nicotine pouches + vape),,,,,info@nicob2b.cz,,"Specjalistyczny dystrybutor B2B nikotynych sasaczków i vape dla trafik, e-sklepów i sieci handlowych w ČR i EU. Fokus: szybka dostępność, stabilne zapasy. | marki_nabijarki: nikotynki, vape",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-019,Šebrle s.r.o.,Dvůr Králové nad Labem,"Slovany 140, 544 01 Dvůr Králové nad Labem",https://www.sebrlesro.cz,green|200|795ms,,,,,,reseller,,,3,B2,średni,średni,B2B wholesale (rolling accessories),,,,,,+420 605 375 429,"Velkoobchodní prodej kuřáckých potřeb, alkoholických a nealkoholických nápojů, cukrovinek, obalového materiálu. Zásobuje restaurace, hotely, čerpací stanice, trafiky, koupaliště. Prodává vlastní dutinky Golden Filter. | marki_nabijarki: Golden Filter (dutinky vlastní značky)",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-020,PEAL a.s.,Praha,"U Plynárny 412/101, Praha, Michle",https://www.peal.cz,green|200|265ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"Velkoobchodní prodej tabákových výrobků, vlhkých doutníků, kuřáckých potřeb, destilátů, alkoholu, nealkoholu, vína, cukrovinek pro gastro, trafiky, čerpací stanice. Członek grupy CTC.",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-021,Tabacos.cz,Praha,"Rybná 716/24, Praha, Staré Město",https://www.tabacos.cz,green|200|286ms,,,,,,reseller,,,2,B5,średni,średni,B2B wholesale (cigars + tobacco),,,,,,+420 608 876 795,"Velkoobchodní a internetový prodej a distribuce tabákových výrobků a doutníků od značek Oliva, Drew Estate a Costa Cigars. Specjalizacja: doutníky premium. | marki_nabijarki: Oliva, Drew Estate, Costa Cigars",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-022,Horák Tabák,Ostrava,Ostrava (expedice z Ostravy),https://www.horaktabak.cz,green|200|425ms,,,,,,reseller,,,1,B2,średni,średni,B2B wholesale (hookah tobacco),,,,,,,"Velkoobchodní prodej tabáku do vodních dýmek, fajek a příslušenství pro podnikatele z ČR. Ekspedice z Ostravy. Dla: shisha lounge, bary, restauracje, trafiki, e-sklepy. | marki_nabijarki: tytoń do fajki wodnej",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,
CZ,CZ-B-023,Gastromex s.r.o.,Hradec Králové,"Kladská 1070/10, 500 03 Hradec Králové",https://www.gastromex.cz,green|200|523ms,,,25960001,CZ25960001,,hurtownik,,,4,B8,duży,wysoki,,,,,,info@gastromex.cz,+420 495 512 000,Dystrybutor nabijarek i akcesoriów tytoniowych,,,,,2026-09-02,web-research,GentleScout; Gemini 2.5,⚠️ DO-WERYFIKACJI,
CZ,CZ-B-024,PEAL,,,https://velkoobchod.peal.cz,green|200|346ms,,,,,,hurtownik,,,4,B8,duży,wysoki,,,,,,,,Velkoobchodní dodavatel (hurtownia) cigaretových dutinek.,,,,,2026-09-02,web-research,"GentleScout (""cigaretové dutinky"" velkoobch); Gemini 2.5",⚠️ DO-WERYFIKACJI,
CZ,CZ-B-025,SHAMANTOBACCO,,,https://www.shamantobacco.cz,green|200|551ms,,,,,,hurtownik,,,4,B8,duży,wysoki,,,,,,,,"Największy importer cigaretových dutinek w Czechach. Oferuje markowe, slimkowe i węglowe dutinky.",,,,,2026-09-02,web-research,"GentleScout (""cigaretové dutinky"" velkoobch); Gemini 2.5",⚠️ DO-WERYFIKACJI,
CZ,CZ-B-026,Weedshop B2B - Baličky a plničky cigaret,,,https://velkoobchod.weedshop.cz/balicky--plnicky--podklady-a-ostatni,green|200|666ms,,,,,,hurtownik,,,4,B8,duży,wysoki,,,,,,velkoobchod@weedshop.cz,+420 705 993 067,"Velkoobchod weedshop.cz — B2B velkoobchodní nabídka baliček, plniček a příslušenství.",,,,,2026-09-02,web-research,GentleScout (plničky cigaret velkoobchod); Gemini 2.5,2026-09-03 ✅ VERIFIED (Direct contact),
CZ,CZ-B-027,Masivní Hit - Velkoobchod e-cigarety a kuřácké potřeby,,,https://velkoobchod.masivni-hit.cz,green|200|538ms,,,,,,hurtownik,,,4,B8,duży,wysoki,,,,,,,,Velkoobchodní prodej kuřáckých potřeb a příslušenství.,,,,,2026-09-02,web-research,GentleScout (plničky cigaret velkoobchod); Gemini 2.5,⚠️ DO-WERYFIKACJI,
