kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
SI,SI-B-001,"TOBAČNA 3DVA, d.o.o. (Trafika 3DVA)",Ljubljana,"Cesta 24. junija 90, 1231 Ljubljana-Črnuče, Slovenija",https://www.trafika3dva.si,red|timeout,duży,🔴,Matična št. 5926742000,SI75749955,,hurtownik,,,5,B8,średni,bardzo wysoki,Hurt B2B & Sieć 200+ trafík 3DVA,,Milan Rus,Direktor (hčerinsko podjetje Tobačne Ljubljana / Imperial Brands),,3dvainfo@si.imptob.com,+386 1 477 73 19,Największa narodowa sieć ponad 200 kiosków i saloników prasowo-tytoniowych Trafika 3DVA w Słowenii. | Profil/Sourcing: Trošarinski promet (FURS Carina) | marki_nabijarki: Tobačni izdelki | Cigaretni papirčki | Tulci | Kadilski pripomočki,,,,,2026-08-17,SI (dystrybucja krajowa),KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SI,SI-B-002,"DELO PRODAJA, d.o.o.",Ljubljana,"Dalmatinova ulica 2, 1000 Ljubljana, Slovenija",https://www.deloprodaja.si,red|unknown,duży,🔴,Matična št. 5096014000,SI17806771,,hurtownik,,,4,B8,średni,wysoki,Distribucija & Sieć kiosków,,Vodstvo družbe,General Manager,,info@deloprodaja.si,+386 1 230 65 00,"Wiodący ogólnokrajowy dystrybutor prasy, wyrobów tytoniowych i akcesoriów w Słowenii. | marki_nabijarki: Časopisi | Tobačni izdelki | Kadilski pribor",,,,,2026-08-17,Direct EU Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SI,SI-B-003,Poslovni sistem Mercator d.o.o. (Cash & Carry),Ljubljana,"Dunajska cesta 107, 1000 Ljubljana, Slovenija",https://www.mercator.si,green|200|949ms,duży,🔴,Matična št. 5300231000,SI45884595,,hurtownik,,,5,B8,średni,wysoki,Cash & Carry Veleprodaja ogólnokrajowa,,Tomislav Đurić,President of Management - CEO,,info@mercator.si,+386 1 560 10 00,Największa sieć hurtowni samoobsługowych Cash & Carry i dystrybutor FMCG oraz tytoniu w Słowenii. | marki_nabijarki: FMCG | Tobačni izdelki | Veleprodaja,,,,,2026-08-17,Trošarinsko skladišče / FURS,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SI,SI-B-004,"OTP, trgovina s tobakom, d.o.o. (Scandinavian Tobacco Group)",Ljubljana,"Vojkova cesta 50, 1000 Ljubljana, Slovenija",https://www.st-group.com,green|200|517ms,średni,🔴,Matična št. 5398851000,SI44285175,,hurtownik,,,4,B8,średni,wysoki,Veleprodaja B2B,,Direktor družbe,Country Manager Slovenia,,info.si@st-group.com,+386 1 430 01 00,"Oficjalny dystrybutor tytoniu fajkowego, cygar i akcesoriów Scandinavian Tobacco Group w Słowenii. | marki_nabijarki: Cigare | Tobak za pipe | Kadilski pribor",,,,,2026-08-17,FURS Trošarine / Uvoz,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SI,SI-B-005,"JT International Ljubljana, d.o.o.",Ljubljana,"Ogrinčeva ulica 4, 1000 Ljubljana, Slovenija",https://www.jti.com,red|429,średni,🔴,Matična št. 8111952000,SI26379694,,hurtownik,,,5,B9,średni,wysoki,Veleprodaja ogólnokrajowa,,Vodstvo podjetja,General Manager Slovenia,,info.slovenia@jti.com,+386 1 586 31 00,Słoweński oddział koncernu Japan Tobacco International. | Profil/Sourcing: Trošarinsko skladišče / FURS Carina | marki_nabijarki: Tobačni izdelki | Cigarete | Pripomočki,,,,,2026-08-17,SI (dystrybucja krajowa),KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B9 2026-09-03 ✅ FROZEN (API),
SI,SI-B-006,"Philip Morris Ljubljana, d.o.o.",Ljubljana,"Letališka cesta 29A, 1000 Ljubljana, Slovenija",https://www.pmi.com,green|200|241ms,średni,🔴,Matična št. 5523869000,SI55739172,,hurtownik,,,5,B9,średni,wysoki,Veleprodaja ogólnokrajowa,,Vodstvo družbe,Managing Director Slovenia,,infoline.si@pmi.com,+386 1 586 37 00,Słoweński oddział koncernu Philip Morris International. | marki_nabijarki: Tobačni izdelki | IQOS | Cigarete,,,,,2026-08-17,Trošarinsko skladišče / FURS,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B9 2026-09-03 ✅ FROZEN (API),
SI,SI-B-007,"BRITISH AMERICAN TOBACCO, d.o.o.",Ljubljana,"Ljubljana, Slovenija",https://www.bat.com,green|200|380ms,średni,🔴,Matična št. 1833286000,SI54717647,,hurtownik,,,5,B9,średni,wysoki,Veleprodaja ogólnokrajowa,,Vodstvo družbe,General Manager Slovenia,,info_slovenia@bat.com,+386 1 586 39 00,Słoweński oddział koncernu British American Tobacco. | marki_nabijarki: Tobačni izdelki | Glo | Velo,,,,,2026-08-17,Trošarinsko skladišče / FURS,AJPES 1833286000 | VIES SI54717647 | bat.com,(AJPES / VIES) 2026-09-03 ⏳ PENDING_API,
SI,SI-B-008,M.H.U. d.o.o.,Maribor,"Trg svobode 5, 2000 Maribor, Slovenija",https://qvapehouse.com,green|200|535ms,średni,🔴,Matična št. 7041772000,SI48939223,,reseller,,,4,B6,średni,średni,"Sieć salonów (Maribor, Ljubljana, Murska Sobota) & E-commerce",,,,,online@qvapehouse.com,+386 2 250 11 00,"Sieć specjalistycznych salonów vape oraz e-commerce Q Vapehouse w Słowenii. | Sieć 3 lokali: Maribor, Ljubljana, Murska Sobota. | marki_nabijarki: Vape | E-tekočine | Kadilske potrebščine",,,,,2026-08-17,Direct EU Import,AJPES 7041772000 | VIES SI48939223 | qvapehouse.com,(AJPES / VIES) 2026-09-03 ⏳ PENDING_API,
SI,SI-B-009,"VAPE, d.o.o.",Sežana,"Partizanska cesta 63, 6210 Sežana, Slovenija",https://vape-zp.si,green|200|857ms,średni,🔴,Matična št. 6734127000,SI87241285,,reseller,,,2,B6,średni,niski,B2C & B2B regionalny,,Nina Gašperšič,Direktor in lastnik,,nina@vape-zp.si,+386 30 221 201,Regionalny dystrybutor i salon e-papierosów w Sežanie (Primorska). | marki_nabijarki: Vape | E-cigarete | Pripomočki,,,,,2026-08-17,Direct EU Import,AJPES 6734127000 | VIES SI87241285 | vape-zp.si,(AJPES / VIES) 2026-09-03 ⏳ PENDING_API,
SI,SI-B-010,AONIS d.o.o.,,,https://aonidoo.com,red|unknown,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"SI B2B wholesale vape+heat-not-burn+cigars+rolling papers, 35% margin, 6-day SI / 9-day EU delivery | ⚠ URL DEAD (000): https://aonidoo.com",,,,,,manual-google-search-2026-09-01,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
