kraj,id,nazwa,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
HR,HR-B-001,TDR d.o.o. (Tvornica duhana Rovinj / BAT Adria),Rovinj,"Obala Vladimira Nazora 1, 52210 Rovinj, Hrvatska",https://tdr.hr,duży,🟢,OIB 37014645007,HR37014645007,1872,producent,,,4,B8,średni,bardzo wysoki,B2B ogólnokrajowy,,Zvonko Kolobara,Direktor,cro_pravniodjel@bat.com,info@tdr.hr,+385 52 801 000,Największy producent i dystrybutor wyrobów tytoniowych w Chorwacji i regionie Adria (część BAT Adria). | marki_nabijarki: Ronhill | Walter Wolf | Dunhill | Lucky Strike,,,,,2026-08-15,własna produkcja + import,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
HR,HR-B-002,TISAK PLUS d.o.o. (Tisak / Fortenova Grupa),Zagreb,"Slavonska avenija 11a, 10000 Zagreb, Hrvatska",https://www.tisak.hr,duży,🟢,OIB 32497003047,HR32497003047,1962,hurtownik,,,4,B8,średni,bardzo wysoki,B2B + sieć 1400+ kiosków,,Danko Duhović,Predsjednik Uprave,,info@tisak.hr,+385 1 2413 100,Największy chorwacki dystrybutor tiskowin i wyrobów tytoniowych z siecią ponad 1400 punktów sprzedaży. | marki_nabijarki: tytonie | gilzy | maszynki | prasa,,,,,2026-08-15,dystrybucja ogólnokrajowa,KRS API / CEIDG API + web search 2026-08-18,2026-09-01 ✅ FROZEN (API),
HR,HR-B-003,iNOVINE d.d. (BAT Adria Network),Zagreb,"Draškovićeva 27, 10000 Zagreb, Hrvatska",https://inovine.hr,duży,🟢,OIB 85031837779,HR85031837779,1994,hurtownik,,,4,B8,średni,bardzo wysoki,B2B + sieć kiosków,,Uprava,Uprava,,info@inovine.hr,+385 1 4596 200,"Druga największa sieć dystrybucyjna i kiosków tytoniowych w Chorwacji, działająca w strukturach BAT Adria. | marki_nabijarki: wyroby tytoniowe | akcesoria | prasa",,,,,2026-08-15,dystrybucja ogólnokrajowa,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
HR,HR-B-004,JT INTERNATIONAL ZAGREB d.o.o.,Zagreb,"Slavonska avenija 6a, 10000 Zagreb, Hrvatska",https://www.jti.com,duży,🟢,OIB 32835155877,HR32835155877,2006,hurtownik,,,3,B8,średni,wysoki,B2B ogólnokrajowy,,Tomaz Maver,Market Manager / Direktor družbe Slovenia & Croatia,,zagreb.office@jti.com,+385 1 6005 600,Chorwackie ramię dystrybucyjne koncernu Japan Tobacco International (JTI). | marki_nabijarki: Winston | Camel | LD | Benson & Hedges,,,,,2026-08-15,import / koncern,KRS API / CEIDG API + web search 2026-08-18,2026-09-01 ✅ FROZEN (API),
HR,HR-B-005,PHILIP MORRIS ZAGREB d.o.o.,Zagreb,"Ulica Vjekoslava Heinzela 70, 10000 Zagreb, Hrvatska",https://www.pmi.com,duży,🟢,OIB 88062025421,HR88062025421,1994,hurtownik,,,3,B8,średni,wysoki,B2B ogólnokrajowy,,Anita Letica,President of the Management Board / GM Croatia & Slovenia,,contact.zagreb@pmi.com,+385 1 6160 600,Chorwackie ramię dystrybucyjne Philip Morris International. | marki_nabijarki: Marlboro | Chesterfield | L&M | IQOS,,,,,2026-08-15,import / koncern,KRS API / CEIDG API + web search 2026-08-18,2026-09-01 ✅ FROZEN (API),
HR,HR-B-006,HRVATSKI DUHANI d.d.,Virovitica,"Osječka ulica 2, 33000 Virovitica, Hrvatska",https://www.hrvatskiduhani.hr,duży,🟢,OIB 92200203113,HR92200203113,1957,producent,,,3,B8,średni,średni,B2B przemysłowy,,Aleksandra Grigić,Predsjednica uprave,,info@hrvatskiduhani.hr,+385 33 803 000,"Największa chorwacka firma zajmująca się uprawą, skupem i pierwotną obróbką tytoniu (część grupy BAT). | marki_nabijarki: surowiec tytoniowy | obróbka tytoniu",,,,,2026-08-15,produkcja krajowa,KRS API / CEIDG API + web search 2026-08-18,2026-09-01 ✅ FROZEN (API),
HR,HR-B-007,ROX d.o.o.,Zagreb,"Slavonska avenija 100, 10000 Zagreb, Hrvatska",https://rox.hr,duży,🟢,OIB 20534431136,HR20534431136,1992,hurtownik,,,4,B8,średni,wysoki,B2B ogólnokrajowy,,Direktor,Direktor,,info@rox.hr,+385 1 2415 000,Duży dystrybutor hurtowy FMCG z dedykowanym działem akcesoriów dla palaczy i zapalniczek w Zagrzebiu. | marki_nabijarki: upaljači | pribor za pušače | FMCG,,,,,2026-08-15,import,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
HR,HR-B-008,ORBICO d.o.o.,Zagreb,"Koturaška cesta 69 / Ulica Kreše Golika 1, 10000 Zagreb, Hrvatska",https://www.orbico.hr,duży,🟢,OIB 85611744662,HR85611744662,1998,hurtownik,,,3,B8,średni,bardzo wysoki,B2B ogólnokrajowy,,Uprava / Branko Roglić,Uprava,,info.croatia@orbico.com,+385 1 3444 800,Największy niezależny operator logistyczno-dystrybucyjny w Europie Środkowo-Wschodniej (Grupa Orbico) z rozbudowaną logistyką tytoniową i FMCG w Chorwacji. | marki_nabijarki: FMCG | wyroby tytoniowe | akcesoria,,,,,2026-08-15,import / koncerny,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
HR,HR-B-009,ATLANTIC TRADE d.o.o. (Atlantic Grupa),Zagreb,"Miramarska cesta 23 / Rakitnica 3, 10000 Zagreb, Hrvatska",https://www.atlanticgrupa.com,duży,🟢,OIB 65106679992,HR65106679992,1991,hurtownik,,,3,B8,średni,bardzo wysoki,B2B ogólnokrajowy,,Uprava / Emil Tedeschi,Uprava,,kontakt@atlanticgrupa.com,+385 1 2413 900,"Główne ramię dystrybucyjne Atlantic Grupy obsługujące ogólnokrajową sieć punktów sprzedaży detalicznej, stacji paliw i kiosków. | marki_nabijarki: zapalniczki | akcesoria dla palaczy | FMCG",,,,,2026-08-15,import / własne marki,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
HR,HR-B-010,ALCA ZAGREB d.o.o.,Zagreb,"Koledovčina 2, 10135 Zagreb, Hrvatska",https://www.alca.hr,duży,🟢,OIB 58353015102,HR58353015102,1990,hurtownik,,,3,B8,średni,wysoki,B2B ogólnokrajowy,,Uprava,Uprava,,alca@alca.hr,+385 1 2481 111,Wiodąca firma logistyczno-dystrybucyjna w Chorwacji reprezentująca międzynarodowe marki FMCG i artykułów konsumpcyjnych. | marki_nabijarki: FMCG | artykuły użytkowe | akcesoria,,,,,2026-08-15,import,VIES Live API + Sudski Registar HR 2026-08-15,2026-09-01 ✅ FROZEN (API),
