kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
LV,LV-B-001,SIA SANITEX,Rāmava (Ķekavas novads),"Liepu aleja 4, LV-2111",https://sanitex.eu,red|403,duży,Jest NIP,UR 40003166842,LV40003166842,,reseller,,nie,5,B8,mały,wysoki,mix,brak,,,,sanitex@sanitex.eu,+371 670 48400,Siostra UAB SANITEX (LT). Wspólny właściciel. Razem = kanał na Litwę + Łotwę ⚠️ DO-WERYFIKACJI | cf detail: hurtownia + logistyka | marki_nabijarki: nie,http://www.linkedin.com/company/sanitex,https://facebook.com/sanitex,brak,,2026-08-17,Europa + Azja,KRS API / CEIDG API + web search 2026-08-10,QS: 50/100 | 🐋 2026-09-03 ✅ FROZEN (API),"LT-B-KA-001,EE-B-XX-001"
LV,LV-B-002,SIA Leversa,Rīga,"Uriekstes iela 12C, Rīga, LV-1005, Latvija",https://leversa.lv,green|200|724ms,średni,Jest NIP,40003525621,LV40003525621,2000,hurtownik,,,4,B8,mały,wysoki,Hurt B2B,,Vadība SIA Leversa,Valdes loceklis,info@leversa.lv,info@leversa.lv,+371 67381200,Hurtownia artykułów tytoniowych i akcesoriów dla palaczy w Rydze. | marki_nabijarki: Wyroby tytoniowe | Akcesoria,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-17,2026-09-03 ✅ FROZEN (API),brak
LV,LV-B-003,SIA G & P Tobacco,Rīga,"Artilērijas iela 13 – 18, Rīga, LV-1001, Latvija",,,średni,Jest NIP,40103239254,LV40103239254,2009,hurtownik,,,4,B8,mały,wysoki,Hurt B2B,,Vadība SIA G & P Tobacco,Valdes loceklis,info@gptobacco.lv,info@gptobacco.lv,+371 67270000,Dystrybutor hurtowy wyrobów tytoniowych i akcesoriów dla palaczy w Rydze. | marki_nabijarki: Tabakas izstrādājumi | Piederumi,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-17,2026-09-03 ✅ FROZEN (API),brak
LV,LV-B-004,SIA Wellman Logistics,Salaspils,"Krasta iela 3 k-1, Salaspils, Salaspils nov., LV-2169, Latvija",https://wellman.lv,green|200|887ms,duży,Jest NIP,50003997841,LV50003997841,2007,hurtownik,,,4,B8,mały,wysoki,Logistyka celno-akcyzowa (VID),,Kristīne Kupcāne,Valdes loceklis,info@wellman.lv,info@wellman.lv,+371 67887710,Licencjonowany skład celny i akcyzowy (VID) z certyfikacją do obsługi i magazynowania wyrobów tytoniowych oraz nakładania znaków akcyzy (tax stamps) w rejonie Rygi (Salaspils). | marki_nabijarki: Akcīzes noliktava | Muitas noliktava | Tabakas loģistika,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
LV,LV-B-005,Amber Distribution Latvia Ltd,,,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003,red|403,duży,www bez NIP,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LV food+beverages+tobacco wholesale, Stopinu pagasts | ⚠ URL DEAD (403): https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/",,,,,,manual-google-search-2026-09-01,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
LV,LV-B-006,Baltstor Ltd,,,https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003,red|403,duży,www bez NIP,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LV food+beverages+tobacco wholesale, Riga | ⚠ URL DEAD (403): https://www.kompass.com/z/lv/a/food-beverages-and-tobacco-wholesale/8125003/",,,,,,manual-google-search-2026-09-01,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
LV,LV-B-007,British American Tobacco Latvia Ltd,,,https://dz.kompass.com/z/lv/a/tabac-et-produits-du-tabac/03990,red|403,średni,www bez NIP,,,,reseller,,,3,B5,średni,średni,B2B wholesale,,,,,,,"LV BAT distribution arm, Riga | Multi-country: BAT cluster | ⚠ URL DEAD (403): https://dz.kompass.com/z/lv/a/tabac-et-produits-du-tabac/03990/",,,,,,manual-google-search-2026-09-01,,DO-WERYFIKACJI 2026-09-03 ⏳ PENDING_API,
LV,LV-B-008,Delos Plus SIA,Founded,Wholesale of tobacco products Legal data Registration number 40003445720 VAT number LV4000344,https://balticexport.com/landingpage/delos-plus-sia,green|200|1354ms,duży,www bez NIP,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,redakcija@heise.lv,+371 67241505,"LV wholesale tobacco, Riga, reg 40003445720",,,,,,manual-google-search-2026-09-01,WEB:imprint,FROZEN 2026-09-03 ⏳ PENDING_API,
LV,LV-B-009,G & P Tobacco SIA,Founded,Wholesale of tobacco products Legal data Registration number 40103239254 VAT number LV4010323,https://balticexport.com/landingpage/g-p-tobacco-sia-272101,green|200|423ms,duży,www bez NIP,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,redakcija@heise.lv,+371 67813516,"LV wholesale tobacco, Riga, reg 40103239254",,,,,,manual-google-search-2026-09-01,WEB:imprint,FROZEN 2026-09-03 ⏳ PENDING_API,
LV,LV-B-010,Raptor Supplies,,,https://eu.raptorsupplies.com/b/powermatic,red|404,duży,www bez NIP,,,,hurtownik,,,4,B8,mały,wysoki,hurt,,,,,,,"Europejski dystrybutor narzędzi i maszyn do obróbki drewna Powermatic, w tym maszyn CNC, tokarek i pił stołowych.",,,,,2026-09-02,web-research,"GentleScout (""Powermatic"" vairumtirdzniecīb); Gemini 2.5 | subagent summary raport",🔍 2026-09-03 ⏳ PENDING_API,
